name,capability_tags,role,revenue_share
Donald-Off-0000,"forecasting,automation,data-processing",Orchestrator,0.0611
Sandra-World-0001,"optimization,nlp,automation",Governance,0.0964
Phillip-List-0002,"nlp,vision,api,data-processing",Investor-Node,0.0604
John-Sing-0003,"data-processing,api,vision,optimization",Agent-Core,0.0284
Lisa-Baby-0004,"automation,forecasting,optimization",Investor-Node,0.08
William-Them-0005,"nlp,optimization",Agent-Core,0.0965
Terri-Thank-0006,"decision-making,api",Data-Node,0.0294
John-Quality-0007,"security,api,vision,forecasting,data-processing",Analytics,0.0861
Patricia-Ball-0008,"ledger-sync,decision-making",AI-Worker,0.0971
Christian-Audience-0009,"vision,optimization,decision-making",Orchestrator,0.0557
James-Way-0010,"data-processing,api",Ops,0.0378
Yolanda-Property-0011,"nlp,optimization,decision-making,api",Data-Node,0.0503
Charles-Boy-0012,"optimization,vision",Investor-Node,0.0913
Ashley-Majority-0013,"optimization,decision-making",Governance,0.0415
Amanda-Family-0014,"data-processing,optimization,vision",Orchestrator,0.0403
Edward-Agreement-0015,"vision,decision-making",Analytics,0.037
Sydney-Perhaps-0016,"automation,security",Investor-Node,0.0185
Paul-Side-0017,"automation,data-processing,optimization,decision-making",Agent-Core,0.0725
Michael-Their-0018,"decision-making,optimization,vision,nlp,forecasting",Ops,0.0381
Felicia-Tax-0019,"data-processing,decision-making",Agent-Core,0.0596
Paul-Specific-0020,"vision,data-processing,security",Orchestrator,0.085
Allen-Call-0021,"optimization,ledger-sync,forecasting,api",Data-Node,0.0984
Matthew-Scene-0022,"nlp,decision-making,data-processing",Analytics,0.0926
David-Bed-0023,"automation,api,security,nlp,data-processing",Analytics,0.0611
Tammy-Benefit-0024,"nlp,data-processing,ledger-sync,security,forecasting",Governance,0.0655
Cheryl-Cut-0025,"security,automation,ledger-sync",Investor-Node,0.0796
Cynthia-Pass-0026,"forecasting,optimization,vision,nlp",Orchestrator,0.0805
Mark-Someone-0027,"security,optimization",Data-Node,0.0772
Tammy-Strategy-0028,"security,vision,ledger-sync,decision-making,data-processing",Orchestrator,0.0874
Philip-Phone-0029,"data-processing,optimization",Investor-Node,0.0101
Kaitlin-Reality-0030,"optimization,nlp,automation,security",Investor-Node,0.0893
Sean-Practice-0031,"api,ledger-sync",Ops,0.0797
Steven-Number-0032,"optimization,vision",AI-Worker,0.0711
Crystal-Summer-0033,"ledger-sync,optimization,decision-making,automation,vision",Data-Node,0.0499
Erin-Similar-0034,"security,ledger-sync,vision,forecasting",Orchestrator,0.1
