bot_name,name,role,capability_tags,capability_score,revenue_share,env,status
LX-ORC-BOT-0000,Donald-Off-0000,Orchestrator,"forecasting,automation,data-processing",0.8858169660068409,0.0611,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-GOV-BOT-0001,Sandra-World-0001,Governance,"optimization,nlp,automation",0.6182725398935566,0.0964,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-INV-BOT-0002,Phillip-List-0002,Investor-Node,"nlp,vision,api,data-processing",0.800191827015728,0.0604,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-AGE-BOT-0003,John-Sing-0003,Agent-Core,"data-processing,api,vision,optimization",1.0,0.0284,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-INV-BOT-0004,Lisa-Baby-0004,Investor-Node,"automation,forecasting,optimization",0.6482985205218206,0.08,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-AGE-BOT-0005,William-Them-0005,Agent-Core,"nlp,optimization",0.5505967379560035,0.0965,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-DAT-BOT-0006,Terri-Thank-0006,Data-Node,"decision-making,api",0.5939306519448755,0.0294,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-ANA-BOT-0007,John-Quality-0007,Analytics,"security,api,vision,forecasting,data-processing",1.0,0.0861,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-AI-BOT-0008,Patricia-Ball-0008,AI-Worker,"ledger-sync,decision-making",0.6470444282820176,0.0971,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-ORC-BOT-0009,Christian-Audience-0009,Orchestrator,"vision,optimization,decision-making",0.7836943494729297,0.0557,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-OPS-BOT-0010,James-Way-0010,Ops,"data-processing,api",0.5651224456044703,0.0378,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-DAT-BOT-0011,Yolanda-Property-0011,Data-Node,"nlp,optimization,decision-making,api",1.0,0.0503,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-INV-BOT-0012,Charles-Boy-0012,Investor-Node,"optimization,vision",0.5769848640649408,0.0913,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-GOV-BOT-0013,Ashley-Majority-0013,Governance,"optimization,decision-making",0.612093499347337,0.0415,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-ORC-BOT-0014,Amanda-Family-0014,Orchestrator,"data-processing,optimization,vision",0.8445118190421289,0.0403,SIMULATION_CORE_v1,ACTIVE_AGENT
LX-ANA-BOT-0015,Edward-Agreement-0015,Analytics,"vision,decision-making",0.5726982854558159,0.037,SIMULATION_CORE_v1,ACTIVE_AGENT
